feature,importance
traffic_rolling_mean_3,0.7516172256468524
hour,0.17314196543064722
traffic_lag_1,0.03665280095014008
traffic_rolling_std_3,0.030967248283307068
traffic_lag_2,0.005706179975155158
traffic_lag_3,0.0008190967649303959
day_of_week,0.0003323639955508152
is_evening_rush,0.00022416721108924013
is_weekend,0.0001730052731713261
is_morning_rush,0.00013482023335799527
temp,9.10760596712184e-05
day,3.686966860639624e-05
month,3.266928870643858e-05
weather_desc_encoded,2.4639979073947068e-05
weather_main_encoded,2.4399794791191277e-05
clouds_all,1.9759474483758363e-05
rain_1h,1.711970465363754e-06
is_holiday,0.0
snow_1h,0.0
